,ê-Cnj,kâ-Cnj,Other-Conjuncts
(Intercept),0.741467335,-0.92248893,-4.22419592
actor.1TRUE,0.428325902,-0.36987209,-
actor.2TRUE,-1.040496753,0.38926705,1.38250558
actor.3TRUE,0.465310418,-0.54288196,-
AI.cookingTRUE,0.811511745,-0.85338473,-
Indef.actorTRUE,-1.199887845,-,2.11710029,-
NDA.Relations.actorTRUE,0.785132481,-0.93472341,-
Pl.actorTRUE,-0.529944099,0.72569720,-
Prox.actorTRUE,-0.510378561,-,-
PV.PositionTRUE,-1.441459300,-2.12558178,4.78358424
PV.TimeTRUE,-3.297908570,-0.58907475,5.43747716
PV.QualTRUE,-,-0.44594842,-
Sg.actorTRUE,-0.461915147,0.68368979,-
PV.WantCanTRUE,-,-1.80146393,-